DP,LR,Batch,Clip,Noise,Microbatches,Acurácia,Precisão,Recall,F1,Tempo Treinamento (s),Privacidade,Arquitetura
FALSE,"0,01",25,"0,5","0,5",None,"0,9914","0,9914","0,9914","0,9914","144,73",Sem DP,A
TRUE,"0,01",25,"0,5","0,5",5,"0,2077","0,1561","0,2077","0,1281","416,62",Sem DP,A
FALSE,"0,01",25,"0,5",1,None,"0,9891","0,9892","0,9891","0,9891","138,45",Epsilon = 143.297,A
TRUE,"0,01",25,"0,5",1,5,"0,1773","0,312","0,1773","0,1602","419,9",Sem DP,A
FALSE,"0,01",25,"0,5","1,5",None,"0,9892","0,9892","0,9892","0,9892","138,91",Epsilon = 6.144,A
TRUE,"0,01",25,"0,5","1,5",5,"0,2586","0,2867","0,2586","0,2083","416,58",Sem DP,A
FALSE,"0,01",25,1,"0,5",None,"0,9894","0,9894","0,9894","0,9894","139,37",Epsilon = 1.511,A 
TRUE,"0,01",25,1,"0,5",5,"0,1254","0,0554","0,1254","0,0546","443,49",Sem DP,A
FALSE,"0,01",25,1,1,None,"0,9908","0,9908","0,9908","0,9908","153,84",Epsilon = 143.297,A
TRUE,"0,01",25,1,1,5,"0,1428","0,0958","0,1428","0,0698","449,49",Sem DP,A
FALSE,"0,01",25,1,"1,5",None,"0,9896","0,9896","0,9896","0,9896","157,44",Epsilon = 6.144,A
TRUE,"0,01",25,1,"1,5",5,"0,1144","0,1004","0,1144","0,0659","458,29",Sem DP,A
FALSE,"0,01",25,"1,5","0,5",None,"0,9863","0,9864","0,9863","0,9863","154,58",Epsilon = 1.511,A
TRUE,"0,01",25,"1,5","0,5",5,"0,101","0,0102","0,101","0,0185","449,67",Sem DP,A
FALSE,"0,01",25,"1,5",1,None,"0,9913","0,9913","0,9913","0,9913","154,41",Epsilon = 143.297,A
TRUE,"0,01",25,"1,5",1,5,"0,1158","0,1291","0,1158","0,0507","451,2",Sem DP,A
FALSE,"0,01",25,"1,5","1,5",None,"0,9906","0,9906","0,9906","0,9906","147,05",Epsilon = 6.144,A
TRUE,"0,01",25,"1,5","1,5",5,"0,1182","0,1388","0,1182","0,0994","440,1",Sem DP,A
FALSE,"0,01",50,"0,5","0,5",None,"0,9905","0,9905","0,9905","0,9905","148,23",Epsilon = 1.511,A
TRUE,"0,01",50,"0,5","0,5",5,"0,5154","0,7112","0,5154","0,4888","339,94",Sem DP,A
TRUE,"0,01",50,"0,5","0,5",10,"0,7817","0,8249","0,7817","0,7449","505,89",Epsilon = 167.930,A
FALSE,"0,01",50,"0,5",1,None,"0,9918","0,9918","0,9918","0,9918","140,9",Epsilon = 167.930,A
TRUE,"0,01",50,"0,5",1,5,"0,4853","0,5834","0,4853","0,4635","309,56",Sem DP,A
TRUE,"0,01",50,"0,5",1,10,"0,6252","0,7065","0,6252","0,5937","492,4",Epsilon = 8.181,A
