DP,LR,Batch,Clip,Noise,Microbatches,Acurácia,Precisão,Recall,F1,Tempo Treinamento (s),Privacidade,Arquitetura
False,0.01,25,N/A,N/A,N/A,0.9911,0.9911,0.9911,0.9911,240.39,Sem privacidade diferencial,a
True,0.01,25,0.5,0.5,5,0.9027,0.9028,0.9027,0.9025,611.43,5.06,a
True,0.01,25,0.5,1.0,5,0.8758,0.8764,0.8758,0.8757,608.21,0.53,a
True,0.01,25,0.5,1.5,5,0.9255,0.9257,0.9255,0.9255,608.64,0.29,a
True,0.01,25,1.0,0.5,5,0.9411,0.9414,0.9411,0.9411,608.17,5.06,a
True,0.01,25,1.0,1.0,5,0.9268,0.9271,0.9268,0.9268,607.87,0.53,a
True,0.01,25,1.0,1.5,5,0.8857,0.8857,0.8857,0.8856,609.82,0.29,a
True,0.01,25,1.5,0.5,5,0.9367,0.9372,0.9367,0.9367,610.44,5.06,a
True,0.01,25,1.5,1.0,5,0.8998,0.9003,0.8998,0.8997,611.76,0.53,a
True,0.01,25,1.5,1.5,5,0.8497,0.8498,0.8497,0.8491,615.57,0.29,a
False,0.01,50,N/A,N/A,N/A,0.9901,0.9901,0.9901,0.9901,184.96,Sem privacidade diferencial,a
True,0.01,50,0.5,0.5,5,0.8103,0.8102,0.8103,0.8084,438.37,6.95,a
True,0.01,50,0.5,0.5,10,0.8964,0.8964,0.8964,0.8962,439.17,6.95,a
True,0.01,50,0.5,1.0,5,0.8210,0.8213,0.8210,0.8193,438.04,0.78,a
True,0.01,50,0.5,1.0,10,0.8372,0.8372,0.8372,0.8360,440.91,0.78,a
True,0.01,50,0.5,1.5,5,0.8576,0.8567,0.8576,0.8567,438.36,0.42,a
True,0.01,50,0.5,1.5,10,0.8486,0.8486,0.8486,0.8471,453.38,0.42,a
True,0.01,50,1.0,0.5,5,0.8691,0.8693,0.8691,0.8689,437.55,6.95,a
True,0.01,50,1.0,0.5,10,0.9277,0.9278,0.9277,0.9277,438.30,6.95,a
True,0.01,50,1.0,1.0,5,0.9033,0.9032,0.9033,0.9030,438.14,0.78,a
True,0.01,50,1.0,1.0,10,0.8976,0.8975,0.8976,0.8975,438.83,0.78,a
True,0.01,50,1.0,1.5,5,0.8954,0.8957,0.8954,0.8952,438.18,0.42,a
True,0.01,50,1.0,1.5,10,0.9106,0.9113,0.9106,0.9107,438.44,0.42,a
True,0.01,50,1.5,0.5,5,0.9332,0.9333,0.9332,0.9331,439.71,6.95,a
True,0.01,50,1.5,0.5,10,0.9206,0.9205,0.9206,0.9205,439.46,6.95,a
True,0.01,50,1.5,1.0,5,0.9096,0.9095,0.9096,0.9094,440.16,0.78,a
True,0.01,50,1.5,1.0,10,0.9357,0.9359,0.9357,0.9357,440.60,0.78,a
True,0.01,50,1.5,1.5,5,0.8903,0.8908,0.8903,0.8902,440.06,0.42,a
True,0.01,50,1.5,1.5,10,0.8982,0.8989,0.8982,0.8978,440.29,0.42,a
False,0.01,100,N/A,N/A,N/A,0.9897,0.9897,0.9897,0.9897,168.62,Sem privacidade diferencial,a
True,0.01,100,0.5,0.5,5,0.7797,0.7789,0.7797,0.7731,331.15,9.62,a
True,0.01,100,0.5,0.5,10,0.8017,0.8044,0.8017,0.7971,329.35,9.62,a
True,0.01,100,0.5,1.0,5,0.7895,0.7937,0.7895,0.7832,332.07,1.15,a
True,0.01,100,0.5,1.0,10,0.8135,0.8132,0.8135,0.8092,331.62,1.15,a
True,0.01,100,0.5,1.5,5,0.7817,0.7820,0.7817,0.7727,328.18,0.61,a
True,0.01,100,0.5,1.5,10,0.7417,0.7425,0.7417,0.7269,331.75,0.61,a
True,0.01,100,1.0,0.5,5,0.8657,0.8655,0.8657,0.8650,330.83,9.62,a
True,0.01,100,1.0,0.5,10,0.8621,0.8616,0.8621,0.8613,330.70,9.62,a
True,0.01,100,1.0,1.0,5,0.8884,0.8889,0.8884,0.8882,332.47,1.15,a
True,0.01,100,1.0,1.0,10,0.8428,0.8417,0.8428,0.8417,329.59,1.15,a
True,0.01,100,1.0,1.5,5,0.8886,0.8885,0.8886,0.8884,330.58,0.61,a
True,0.01,100,1.0,1.5,10,0.8457,0.8447,0.8457,0.8444,330.29,0.61,a
True,0.01,100,1.5,0.5,5,0.8760,0.8761,0.8760,0.8758,331.18,9.62,a
True,0.01,100,1.5,0.5,10,0.8834,0.8839,0.8834,0.8832,330.73,9.62,a
True,0.01,100,1.5,1.0,5,0.9027,0.9032,0.9027,0.9027,330.20,1.15,a
True,0.01,100,1.5,1.0,10,0.8740,0.8739,0.8740,0.8736,330.34,1.15,a
True,0.01,100,1.5,1.5,5,0.8762,0.8764,0.8762,0.8757,330.72,0.61,a
True,0.01,100,1.5,1.5,10,0.8846,0.8844,0.8846,0.8842,329.92,0.61,a
False,0.005,25,N/A,N/A,N/A,0.9902,0.9902,0.9902,0.9902,235.48,Sem privacidade diferencial,a
True,0.005,25,0.5,0.5,5,0.8700,0.8701,0.8700,0.8696,580.94,5.06,a
True,0.005,25,0.5,1.0,5,0.8650,0.8648,0.8650,0.8643,582.34,0.53,a
True,0.005,25,0.5,1.5,5,0.9030,0.9034,0.9030,0.9029,582.82,0.29,a
True,0.005,25,1.0,0.5,5,0.8917,0.8921,0.8917,0.8914,580.16,5.06,a
True,0.005,25,1.0,1.0,5,0.9019,0.9029,0.9019,0.9020,579.78,0.53,a
True,0.005,25,1.0,1.5,5,0.9075,0.9079,0.9075,0.9076,582.98,0.29,a
True,0.005,25,1.5,0.5,5,0.9165,0.9166,0.9165,0.9165,584.32,5.06,a
True,0.005,25,1.5,1.0,5,0.8964,0.8967,0.8964,0.8964,582.83,0.53,a
True,0.005,25,1.5,1.5,5,0.8969,0.8976,0.8969,0.8970,584.68,0.29,a
False,0.005,50,N/A,N/A,N/A,0.9879,0.9879,0.9879,0.9879,173.10,Sem privacidade diferencial,a
True,0.005,50,0.5,0.5,5,0.7800,0.7793,0.7800,0.7721,412.78,6.95,a
True,0.005,50,0.5,0.5,10,0.7994,0.8006,0.7994,0.7943,412.33,6.95,a
True,0.005,50,0.5,1.0,5,0.7810,0.7835,0.7810,0.7733,408.73,0.78,a
True,0.005,50,0.5,1.0,10,0.7982,0.8017,0.7982,0.7928,409.68,0.78,a
True,0.005,50,0.5,1.5,5,0.7523,0.7550,0.7523,0.7436,409.24,0.42,a
True,0.005,50,0.5,1.5,10,0.7956,0.7989,0.7956,0.7881,408.18,0.42,a
True,0.005,50,1.0,0.5,5,0.8613,0.8613,0.8613,0.8606,408.97,6.95,a
True,0.005,50,1.0,0.5,10,0.8449,0.8443,0.8449,0.8438,409.26,6.95,a
True,0.005,50,1.0,1.0,5,0.8591,0.8592,0.8591,0.8586,409.55,0.78,a
True,0.005,50,1.0,1.0,10,0.8372,0.8374,0.8372,0.8365,408.95,0.78,a
True,0.005,50,1.0,1.5,5,0.8591,0.8597,0.8591,0.8584,409.75,0.42,a
True,0.005,50,1.0,1.5,10,0.8986,0.8990,0.8986,0.8985,409.04,0.42,a
True,0.005,50,1.5,0.5,5,0.8685,0.8688,0.8685,0.8682,409.27,6.95,a
True,0.005,50,1.5,0.5,10,0.8688,0.8691,0.8688,0.8685,408.73,6.95,a
True,0.005,50,1.5,1.0,5,0.9114,0.9117,0.9114,0.9114,409.94,0.78,a
True,0.005,50,1.5,1.0,10,0.9110,0.9119,0.9110,0.9110,409.91,0.78,a
True,0.005,50,1.5,1.5,5,0.8870,0.8869,0.8870,0.8866,410.34,0.42,a
True,0.005,50,1.5,1.5,10,0.8983,0.8985,0.8983,0.8982,409.55,0.42,a
False,0.005,100,N/A,N/A,N/A,0.9839,0.9840,0.9839,0.9839,148.29,Sem privacidade diferencial,a
True,0.005,100,0.5,0.5,5,0.6560,0.6797,0.6560,0.6156,332.69,9.62,a
True,0.005,100,0.5,0.5,10,0.6990,0.7125,0.6990,0.6777,332.37,9.62,a
True,0.005,100,0.5,1.0,5,0.6871,0.6868,0.6871,0.6658,332.09,1.15,a
True,0.005,100,0.5,1.0,10,0.7146,0.7150,0.7146,0.6936,332.25,1.15,a
True,0.005,100,0.5,1.5,5,0.7041,0.7098,0.7041,0.6834,334.18,0.61,a
True,0.005,100,0.5,1.5,10,0.6937,0.7129,0.6937,0.6665,332.89,0.61,a
True,0.005,100,1.0,0.5,5,0.7971,0.7986,0.7971,0.7910,333.73,9.62,a
True,0.005,100,1.0,0.5,10,0.7892,0.7945,0.7892,0.7800,333.49,9.62,a
