DP,LR,Batch,Clip,Noise,Microbatches,Acurácia,Precisão,Recall,F1,Tempo Treinamento (s),Privacidade,Arquitetura
False,0.01,25,N/A,N/A,N/A,0.9913,0.9913,0.9913,0.9913,162.94,Sem privacidade diferencial,a
True,0.01,25,0.5,0.5,5,0.9011,0.9014,0.9011,0.9010,477.34,5.06,a
True,0.01,25,0.5,1.0,5,0.8888,0.8893,0.8888,0.8888,476.71,0.53,a
True,0.01,25,0.5,1.5,5,0.8746,0.8751,0.8746,0.8743,478.73,0.29,a
True,0.01,25,1.0,0.5,5,0.9332,0.9332,0.9332,0.9331,476.71,5.06,a
True,0.01,25,1.0,1.0,5,0.9303,0.9305,0.9303,0.9303,476.39,0.53,a
True,0.01,25,1.0,1.5,5,0.8889,0.8887,0.8889,0.8885,476.17,0.29,a
True,0.01,25,1.5,0.5,5,0.9398,0.9400,0.9398,0.9398,476.15,5.06,a
True,0.01,25,1.5,1.0,5,0.8949,0.8952,0.8949,0.8946,477.13,0.53,a
True,0.01,25,1.5,1.5,5,0.8679,0.8693,0.8679,0.8676,476.88,0.29,a
False,0.01,50,N/A,N/A,N/A,0.9890,0.9891,0.9890,0.9890,91.88,Sem privacidade diferencial,a
True,0.01,50,0.5,0.5,5,0.8454,0.8452,0.8454,0.8444,240.76,6.95,a
True,0.01,50,0.5,0.5,10,0.8174,0.8154,0.8174,0.8147,240.97,6.95,a
True,0.01,50,0.5,1.0,5,0.8400,0.8390,0.8400,0.8385,241.38,0.78,a
True,0.01,50,0.5,1.0,10,0.8799,0.8804,0.8799,0.8795,240.89,0.78,a
True,0.01,50,0.5,1.5,5,0.8566,0.8561,0.8566,0.8555,240.92,0.42,a
True,0.01,50,0.5,1.5,10,0.8917,0.8917,0.8917,0.8913,240.53,0.42,a
True,0.01,50,1.0,0.5,5,0.8911,0.8912,0.8911,0.8909,240.37,6.95,a
True,0.01,50,1.0,0.5,10,0.8755,0.8764,0.8755,0.8753,240.64,6.95,a
True,0.01,50,1.0,1.0,5,0.8645,0.8643,0.8645,0.8638,241.08,0.78,a
